순위,티커,종목명,티어,종가,등락률,시가총액,거래량,거래대금,PER,ROE,외국인비율,자동점수,점수상세
50,033780,KT&G,A,185100,0.22,19215300000000.0,265352,49116655200,18.23,11.77,51.16,73.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 5}"
51,360750,TIGER 미국S&P500,?,28365,0.23,18916600000000.0,11269524,319660048260,,,0.02,,
52,035720,카카오,C,42700,1.79,18860200000000.0,11795777,503679677900,38.43,4.59,29.0,52.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 10, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
53,011200,HMM,C,19770,1.07,18647800000000.0,1869134,36952779180,12.93,6.9,7.59,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 8}"
54,138040,메리츠금융지주,A,106100,3.11,17755500000000.0,378615,40171051500,8.36,22.53,14.1,52.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 15, ""현금흐름"": 0, ""부채안정성"": 0, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 10}"
55,086280,현대글로비스,A,232500,-4.12,17437500000000.0,506710,117810075000,10.4,18.13,45.0,74.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 8}"
56,079550,LIG디펜스앤에어로스페이스,C,776000,-3.12,17072000000000.0,278511,216124536000,54.91,19.2,23.92,67.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
57,024110,기업은행,B,20050,-0.74,15988400000000.0,1884492,37784064600,6.03,7.7,13.31,58.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 0, ""부채안정성"": 0, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 10}"
58,278470,에이피알,?,426500,7.84,15967400000000.0,420058,179154737000,44.9,75.3,37.52,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
59,047810,한국항공우주,C,163000,-3.15,15888400000000.0,712066,116066758000,80.34,10.51,26.51,41.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 2, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
60,000720,현대건설,?,138900,-5.51,15467300000000.0,1175049,163214306100,36.63,4.58,25.49,26.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 4, ""ROE"": 0, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 1}"
61,396500,TIGER 반도체TOP10,?,52505,4.07,14635800000000.0,22749526,1194463862630,,,0.31,,
62,006260,LS,C,466000,4.48,14539200000000.0,363149,169227434000,43.69,5.65,18.61,54.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 1}"
63,064400,LG씨엔에스,?,143700,26.27,13922500000000.0,11084314,1592815921800,30.16,17.35,6.37,67.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
